ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000038,2022-05-07 23:25:23,CUST_07422,education,web_form,analytics_dashboard,billing_problem,medium,on_hold,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,0,web,EU
TCKT_000068,2022-05-09 23:59:12,CUST_01277,enterprise,in_app,mobile_app,how_to,urgent,resolved,platinum,Can you explain how to configure mobile app properly?,Happy to help with your question. This has been escalated to our on-call team for immediate attention.,Provided step-by-step instructions and relevant documentation.,1.97,0,positive,5,1,ios,MEA
TCKT_000069,2022-05-02 03:23:35,CUST_05127,enterprise,web_form,mobile_app,security_concern,medium,resolved,gold,There seems to be a vulnerability in the mobile app functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",5.34,0,positive,4,0,ios,MEA
TCKT_000084,2022-05-15 11:23:47,CUST_02892,small_business,chat,login_auth,security_concern,high,open,standard,There seems to be a vulnerability in the login auth functionality.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,negative,2,1,android,EU
TCKT_000104,2022-05-19 08:05:14,CUST_09443,enterprise,phone_transcript,notifications,billing_problem,high,on_hold,platinum,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,,,1,very_negative,2,0,ios,LATAM
TCKT_000108,2022-05-06 22:25:26,CUST_05605,small_business,email,login_auth,security_concern,medium,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",25.53,0,very_negative,1,1,api_client,EU
TCKT_000248,2022-05-19 07:52:32,CUST_09837,small_business,web_form,billing,billing_problem,medium,in_progress,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,,,0,negative,0,1,ios,
TCKT_000256,2022-05-16 02:03:59,CUST_06440,non_profit,in_app,login_auth,feature_request,high,resolved,standard,Can you add an option to customize login auth?,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,Captured the request and added it to the product backlog.,11.32,0,negative,2,0,desktop_app,
TCKT_000343,2022-05-06 15:08:40,CUST_07553,enterprise,email,data_export,account_access,high,in_progress,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We are prioritizing this and will update you as soon as possible.,,,0,neutral,4,0,api_client,EU
TCKT_000391,2022-05-20 02:40:31,CUST_04483,individual,web_form,analytics_dashboard,security_concern,high,on_hold,gold,There seems to be a vulnerability in the analytics dashboard functionality.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,negative,3,1,desktop_app,
TCKT_000474,2022-05-31 19:07:27,CUST_03900,small_business,chat,mobile_app,how_to,low,in_progress,platinum,How can I export my data from the mobile app section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,positive,5,0,api_client,MEA
TCKT_000483,2022-05-04 14:49:15,CUST_09655,non_profit,chat,mobile_app,how_to,high,resolved,platinum,I need help setting up mobile app for my team.,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,Provided step-by-step instructions and relevant documentation.,23.81,0,neutral,4,0,web,MEA
TCKT_000577,2022-05-24 15:32:17,CUST_00575,enterprise,in_app,analytics_dashboard,feature_request,medium,resolved,standard,Our team needs more advanced options for analytics dashboard.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,42.16,0,very_positive,0,1,api_client,
TCKT_000609,2022-05-20 14:32:24,CUST_04699,non_profit,phone_transcript,login_auth,how_to,low,open,gold,How can I export my data from the login auth section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,positive,4,0,ios,APAC
TCKT_000629,2022-05-20 18:39:58,CUST_09670,education,web_form,notifications,security_concern,medium,in_progress,standard,There seems to be a vulnerability in the notifications functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,4,0,android,
TCKT_000652,2022-05-24 16:36:00,CUST_07493,small_business,chat,billing,security_concern,low,resolved,gold,There seems to be a vulnerability in the billing functionality.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,"Investigated logs, mitigated the issue, and updated security settings.",16.12,0,positive,5,0,api_client,MEA
TCKT_000674,2022-05-25 14:40:18,CUST_09456,enterprise,phone_transcript,login_auth,other,low,resolved,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,50.61,0,negative,0,0,web,
