ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000001,2024-01-31 05:14:27,CUST_00861,individual,email,data_export,account_access,low,resolved,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,36.53,0,very_negative,1,0,android,EU
TCKT_000025,2024-01-26 17:08:06,CUST_01046,individual,web_form,notifications,how_to,low,closed_no_action,standard,Can you explain how to configure notifications properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,216.68,0,positive,5,0,android,EU
TCKT_000029,2024-01-20 19:55:45,CUST_07807,individual,phone_transcript,billing,billing_problem,medium,resolved,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,34.67,0,neutral,3,0,android,
TCKT_000079,2024-01-05 08:07:35,CUST_09065,education,chat,notifications,other,high,resolved,gold,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We are prioritizing this and will update you as soon as possible.,Provided general guidance and confirmed the issue was resolved.,5.29,0,negative,3,0,api_client,MEA
TCKT_000091,2024-01-25 06:54:40,CUST_00967,individual,email,data_export,security_concern,urgent,resolved,standard,I noticed a suspicious login on my account.,We take security very seriously. This has been escalated to our on-call team for immediate attention.,"Investigated logs, mitigated the issue, and updated security settings.",6.9,0,negative,0,0,desktop_app,EU
TCKT_000099,2024-01-22 06:43:35,CUST_02680,non_profit,chat,billing,account_access,urgent,resolved,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. This has been escalated to our on-call team for immediate attention.,Reset account credentials and confirmed successful login.,3.93,0,negative,3,0,api_client,
TCKT_000138,2024-01-14 21:54:27,CUST_02721,education,web_form,notifications,bug,medium,open,standard,The page keeps crashing whenever I try to open the notifications section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,1,ios,MEA
TCKT_000153,2024-01-16 19:14:08,CUST_06263,non_profit,web_form,mobile_app,other,low,in_progress,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,3,0,web,MEA
TCKT_000218,2024-01-29 02:39:38,CUST_02644,non_profit,web_form,api_integration,how_to,medium,resolved,standard,I need help setting up api integration for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,Provided step-by-step instructions and relevant documentation.,17.87,0,positive,0,0,ios,APAC
TCKT_000247,2024-01-21 03:26:32,CUST_09985,individual,phone_transcript,billing,feature_request,low,resolved,gold,Can you add an option to customize billing?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,8.19,0,very_negative,1,0,desktop_app,MEA
TCKT_000395,2024-01-19 06:59:41,CUST_02829,small_business,phone_transcript,billing,billing_problem,medium,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,32.45,0,very_negative,2,0,android,LATAM
