ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000020,2024-08-24 08:57:46,CUST_08156,enterprise,phone_transcript,billing,account_access,medium,in_progress,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,0,android,LATAM
TCKT_000075,2024-08-26 23:58:35,CUST_06470,small_business,chat,billing,bug,urgent,resolved,standard,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. This has been escalated to our on-call team for immediate attention.,Patched the bug and deployed a fix to production.,5.92,0,neutral,4,0,desktop_app,MEA
TCKT_000098,2024-08-17 20:46:58,CUST_04567,non_profit,email,mobile_app,security_concern,low,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,"Investigated logs, mitigated the issue, and updated security settings.",57.53,0,negative,2,0,android,
TCKT_000112,2024-08-07 18:03:56,CUST_08685,enterprise,phone_transcript,login_auth,how_to,medium,in_progress,standard,Can you explain how to configure login auth properly?,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,0,very_positive,0,0,android,APAC
TCKT_000122,2024-08-26 08:28:11,CUST_04037,non_profit,web_form,mobile_app,bug,urgent,open,gold,The mobile app feature is not saving my changes.,Thanks for reporting this bug. This has been escalated to our on-call team for immediate attention.,,,0,neutral,3,0,web,EU
TCKT_000163,2024-08-20 15:43:38,CUST_09136,education,in_app,mobile_app,account_access,medium,resolved,gold,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,26.93,0,neutral,4,0,ios,
TCKT_000170,2024-08-04 20:02:41,CUST_00631,enterprise,phone_transcript,notifications,how_to,medium,in_progress,standard,I need help setting up notifications for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,0,web,EU
TCKT_000174,2024-08-07 18:57:08,CUST_02476,non_profit,phone_transcript,api_integration,billing_problem,low,resolved,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,49.66,0,negative,2,1,web,LATAM
TCKT_000191,2024-08-26 21:50:17,CUST_05828,individual,phone_transcript,api_integration,feature_request,high,in_progress,gold,It would be great to have api integration support in your product.,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,,,0,positive,4,0,android,APAC
TCKT_000195,2024-08-02 13:32:52,CUST_00148,education,web_form,data_export,how_to,medium,on_hold,standard,I need help setting up data export for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,3,0,desktop_app,APAC
TCKT_000251,2024-08-10 22:57:03,CUST_01518,small_business,email,mobile_app,other,urgent,in_progress,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. This has been escalated to our on-call team for immediate attention.,,,0,neutral,4,0,android,LATAM
TCKT_000275,2024-08-08 10:28:16,CUST_03364,enterprise,web_form,notifications,how_to,high,resolved,standard,Can you explain how to configure notifications properly?,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,Provided step-by-step instructions and relevant documentation.,18.33,0,positive,4,0,android,MEA
TCKT_000312,2024-08-31 02:51:07,CUST_04571,enterprise,in_app,mobile_app,other,low,closed_no_action,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,112.43,0,positive,4,0,api_client,APAC
TCKT_000385,2024-08-06 16:28:45,CUST_05463,non_profit,web_form,data_export,other,low,resolved,standard,I have a general question about my account.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,60.63,0,very_negative,1,0,web,MEA
TCKT_000396,2024-08-02 03:32:38,CUST_07070,individual,phone_transcript,login_auth,billing_problem,medium,resolved,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,11.07,0,very_negative,1,0,desktop_app,MEA
TCKT_000436,2024-08-28 12:39:49,CUST_01860,education,email,mobile_app,other,low,open,platinum,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,2,0,ios,MEA
TCKT_000638,2024-08-29 23:08:56,CUST_00079,small_business,phone_transcript,mobile_app,bug,medium,resolved,platinum,The mobile app feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,45.03,0,negative,3,0,android,MEA
TCKT_000641,2024-08-16 17:13:29,CUST_00029,education,email,billing,security_concern,low,in_progress,standard,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,very_negative,0,0,web,MEA
TCKT_000694,2024-08-23 06:26:13,CUST_06778,individual,chat,data_export,other,high,in_progress,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. We are prioritizing this and will update you as soon as possible.,,,0,neutral,0,0,ios,EU
TCKT_000713,2024-08-06 21:52:16,CUST_02856,non_profit,phone_transcript,analytics_dashboard,billing_problem,medium,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,39.51,0,negative,0,0,desktop_app,APAC
TCKT_000792,2024-08-16 12:45:40,CUST_01579,non_profit,in_app,mobile_app,performance,high,resolved,gold,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,Optimized queries and increased resource allocation.,1.31,0,very_negative,1,0,api_client,EU
TCKT_000841,2024-08-20 09:01:20,CUST_05264,non_profit,email,api_integration,feature_request,high,resolved,gold,Can you add an option to customize api integration?,Thanks for your feature suggestion. We are prioritizing this and will update you as soon as possible.,Captured the request and added it to the product backlog.,8.32,0,neutral,4,0,web,APAC
TCKT_000852,2024-08-08 10:45:10,CUST_03031,education,in_app,api_integration,how_to,high,open,platinum,How can I export my data from the api integration section?,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,,,0,negative,2,0,desktop_app,APAC
TCKT_001021,2024-08-29 06:23:46,CUST_06148,non_profit,chat,mobile_app,how_to,low,resolved,standard,How can I export my data from the mobile app section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,54.41,0,negative,0,0,ios,EU
TCKT_001060,2024-08-08 02:11:32,CUST_02942,small_business,phone_transcript,mobile_app,account_access,medium,closed_no_action,platinum,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,214.55,0,negative,2,0,desktop_app,APAC
TCKT_001076,2024-08-26 22:34:41,CUST_02063,non_profit,phone_transcript,billing,bug,low,resolved,standard,I am seeing an error message when I click on billing.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,39.06,0,positive,4,0,desktop_app,EU
TCKT_001094,2024-08-07 19:55:11,CUST_05052,small_business,email,notifications,bug,high,resolved,gold,The page keeps crashing whenever I try to open the notifications section.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,Patched the bug and deployed a fix to production.,12.05,0,negative,3,0,ios,APAC
TCKT_001122,2024-08-15 22:30:46,CUST_01660,individual,phone_transcript,billing,other,medium,resolved,standard,I have a general question about my account.,Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,38.92,0,positive,0,0,api_client,EU
TCKT_001159,2024-08-21 18:51:39,CUST_07536,individual,in_app,notifications,feature_request,medium,open,standard,Our team needs more advanced options for notifications.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,,,0,positive,4,0,desktop_app,EU
TCKT_001176,2024-08-07 23:53:54,CUST_07896,enterprise,email,data_export,bug,medium,resolved,gold,The data export feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,25.77,0,negative,0,0,web,EU
