ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000022,2023-09-18 01:42:43,CUST_06296,non_profit,in_app,login_auth,feature_request,medium,resolved,gold,Can you add an option to customize login auth?,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,45.17,1,positive,5,1,android,MEA
TCKT_000081,2023-09-04 13:53:17,CUST_03688,non_profit,web_form,login_auth,other,low,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,29.3,0,positive,5,0,ios,EU
TCKT_000148,2023-09-20 02:31:29,CUST_00375,small_business,in_app,analytics_dashboard,billing_problem,medium,open,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,,,0,very_negative,2,0,web,APAC
TCKT_000222,2023-09-03 20:24:48,CUST_01634,individual,chat,notifications,other,low,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,18.61,0,very_positive,5,0,api_client,MEA
TCKT_000231,2023-09-19 17:21:30,CUST_08005,non_profit,in_app,api_integration,feature_request,medium,resolved,gold,Can you add an option to customize api integration?,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,43.17,0,negative,2,0,ios,APAC
TCKT_000235,2023-09-19 00:53:53,CUST_01090,small_business,phone_transcript,mobile_app,security_concern,low,open,gold,I noticed a suspicious login on my account.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,very_negative,1,0,api_client,
TCKT_000292,2023-09-04 21:14:40,CUST_03924,enterprise,in_app,billing,bug,medium,in_progress,standard,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,,,1,negative,3,0,web,MEA
TCKT_000370,2023-09-04 13:36:31,CUST_06048,small_business,phone_transcript,data_export,how_to,low,resolved,standard,I need help setting up data export for my team.,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,68.06,0,neutral,3,0,ios,
TCKT_000461,2023-09-03 03:56:25,CUST_00507,non_profit,in_app,login_auth,other,medium,resolved,gold,"Something seems off, can you please check my workspace?",Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,6.7,0,positive,5,1,web,
TCKT_000627,2023-09-23 06:53:54,CUST_04676,enterprise,phone_transcript,analytics_dashboard,account_access,medium,in_progress,platinum,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,1,web,APAC
