ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000055,2024-12-22 02:06:27,CUST_03720,education,in_app,billing,how_to,low,resolved,standard,How can I export my data from the billing section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,70.36,0,very_positive,5,0,android,MEA
TCKT_000114,2024-12-14 01:33:31,CUST_09455,enterprise,in_app,notifications,account_access,low,open,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,negative,2,0,android,APAC
TCKT_000279,2024-12-30 23:08:37,CUST_02781,individual,chat,notifications,how_to,medium,resolved,standard,I need help setting up notifications for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,Provided step-by-step instructions and relevant documentation.,13.65,0,very_negative,0,0,android,LATAM
TCKT_000281,2024-12-26 20:16:52,CUST_06847,non_profit,phone_transcript,mobile_app,feature_request,low,closed_no_action,gold,Our team needs more advanced options for mobile app.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,110.71,0,negative,3,1,android,APAC
TCKT_000296,2024-12-02 17:27:03,CUST_08585,education,web_form,login_auth,performance,low,resolved,gold,Queries in the login auth module are timing out.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Optimized queries and increased resource allocation.,49.25,0,negative,2,1,android,APAC
TCKT_000301,2024-12-13 23:45:47,CUST_00493,small_business,chat,analytics_dashboard,other,low,resolved,platinum,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,58.76,0,positive,0,1,ios,LATAM
TCKT_000316,2024-12-13 18:19:29,CUST_02750,non_profit,in_app,notifications,security_concern,high,in_progress,standard,I noticed a suspicious login on my account.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,very_negative,1,0,android,
TCKT_000342,2024-12-25 07:37:28,CUST_06916,individual,email,analytics_dashboard,account_access,medium,resolved,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,5.25,0,very_negative,0,1,desktop_app,MEA
TCKT_000423,2024-12-29 13:21:06,CUST_03178,non_profit,email,api_integration,security_concern,low,closed_no_action,platinum,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,109.35,0,neutral,4,0,desktop_app,
TCKT_000469,2024-12-21 05:55:29,CUST_09964,education,email,data_export,how_to,high,closed_no_action,gold,How can I export my data from the data export section?,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,Ticket closed without further action after no response from the customer.,66.53,0,neutral,0,0,ios,APAC
