ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000101,2023-11-28 18:18:11,CUST_08233,non_profit,phone_transcript,billing,security_concern,low,resolved,gold,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,"Investigated logs, mitigated the issue, and updated security settings.",61.1,0,very_negative,0,0,web,LATAM
TCKT_000126,2023-11-24 15:24:10,CUST_01137,individual,chat,mobile_app,billing_problem,medium,in_progress,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,,,0,very_negative,2,0,web,MEA
TCKT_000140,2023-11-30 10:16:07,CUST_06091,small_business,chat,mobile_app,bug,low,resolved,standard,The mobile app feature is not saving my changes.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,47.46,0,neutral,0,0,desktop_app,
TCKT_000165,2023-11-20 06:57:49,CUST_03611,small_business,in_app,notifications,performance,high,resolved,standard,The notifications page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,Optimized queries and increased resource allocation.,3.06,0,neutral,3,1,android,MEA
TCKT_000202,2023-11-16 20:30:13,CUST_08854,small_business,web_form,notifications,bug,urgent,closed_no_action,standard,The notifications feature is not saving my changes.,Thanks for reporting this bug. This has been escalated to our on-call team for immediate attention.,Ticket closed without further action after no response from the customer.,59.6,0,negative,2,0,ios,
TCKT_000237,2023-11-28 14:20:00,CUST_04647,education,in_app,mobile_app,bug,high,open,gold,I am seeing an error message when I click on mobile app.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,,,0,neutral,3,1,ios,EU
TCKT_000300,2023-11-14 23:31:16,CUST_07558,education,chat,notifications,feature_request,low,resolved,standard,Can you add an option to customize notifications?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,42.98,0,neutral,0,0,api_client,APAC
TCKT_000302,2023-11-24 10:54:26,CUST_09468,individual,email,analytics_dashboard,other,urgent,resolved,platinum,I have a general question about my account.,Thanks for contacting support. This has been escalated to our on-call team for immediate attention.,Provided general guidance and confirmed the issue was resolved.,4.6,0,negative,2,1,android,MEA
TCKT_000438,2023-11-29 08:30:37,CUST_00245,non_profit,chat,notifications,account_access,medium,in_progress,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,,,0,very_negative,1,1,api_client,
TCKT_000477,2023-11-09 04:23:26,CUST_05561,individual,chat,analytics_dashboard,security_concern,low,on_hold,gold,I noticed a suspicious login on my account.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,negative,3,1,android,LATAM
TCKT_000706,2023-11-08 08:39:33,CUST_00573,individual,chat,notifications,feature_request,low,closed_no_action,gold,Our team needs more advanced options for notifications.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,131.93,0,negative,3,0,android,LATAM
TCKT_000721,2023-11-14 02:41:19,CUST_07960,education,in_app,api_integration,bug,medium,resolved,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,15.49,0,positive,4,0,ios,
TCKT_000915,2023-11-21 18:31:00,CUST_08681,small_business,in_app,login_auth,account_access,low,in_progress,gold,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,very_negative,1,0,web,
TCKT_000954,2023-11-21 04:10:12,CUST_07857,education,phone_transcript,api_integration,how_to,medium,open,gold,I need help setting up api integration for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,0,1,android,APAC
TCKT_000981,2023-11-23 05:58:15,CUST_00582,enterprise,email,data_export,how_to,high,on_hold,gold,Can you explain how to configure data export properly?,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,,,0,negative,0,0,android,MEA
TCKT_000999,2023-11-03 03:50:23,CUST_08915,education,web_form,mobile_app,bug,low,in_progress,standard,I am seeing an error message when I click on mobile app.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,,,0,negative,2,1,ios,EU
TCKT_001037,2023-11-24 20:57:36,CUST_08098,individual,phone_transcript,login_auth,how_to,high,resolved,platinum,How can I export my data from the login auth section?,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,Provided step-by-step instructions and relevant documentation.,17.61,0,negative,2,0,desktop_app,EU
TCKT_001207,2023-11-21 15:49:13,CUST_02494,education,chat,api_integration,other,low,in_progress,gold,I have a general question about my account.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,0,0,android,EU
TCKT_001244,2023-11-28 17:29:27,CUST_05647,individual,web_form,analytics_dashboard,other,urgent,in_progress,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. This has been escalated to our on-call team for immediate attention.,,,0,negative,2,0,api_client,MEA
TCKT_001259,2023-11-08 15:59:12,CUST_07811,individual,email,analytics_dashboard,other,low,on_hold,standard,I have a general question about my account.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,negative,3,1,web,MEA
TCKT_001326,2023-11-28 13:42:33,CUST_03846,education,in_app,billing,how_to,low,open,standard,Can you explain how to configure billing properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,1,web,LATAM
TCKT_001359,2023-11-12 23:39:21,CUST_06591,small_business,chat,notifications,how_to,medium,open,standard,I need help setting up notifications for my team.,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,0,positive,4,0,android,LATAM
TCKT_001405,2023-11-05 15:14:53,CUST_04371,education,web_form,data_export,how_to,urgent,in_progress,standard,I need help setting up data export for my team.,Happy to help with your question. This has been escalated to our on-call team for immediate attention.,,,0,neutral,4,0,android,EU
