ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000018,2022-12-30 04:11:31,CUST_07778,education,in_app,billing,security_concern,medium,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",40.75,1,negative,0,0,api_client,LATAM
TCKT_000023,2022-12-27 11:41:22,CUST_02201,non_profit,email,api_integration,performance,low,in_progress,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,1,web,
TCKT_000110,2022-12-03 08:44:06,CUST_01501,education,chat,mobile_app,performance,medium,resolved,gold,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,18.04,0,neutral,0,1,api_client,MEA
TCKT_000143,2022-12-20 16:49:58,CUST_08942,small_business,web_form,api_integration,feature_request,low,in_progress,gold,Can you add an option to customize api integration?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,,,1,positive,5,0,android,MEA
TCKT_000171,2022-12-15 17:47:56,CUST_06653,small_business,web_form,notifications,performance,low,in_progress,standard,The notifications page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,,,0,negative,3,0,desktop_app,
TCKT_000178,2022-12-17 07:43:17,CUST_07122,individual,web_form,api_integration,security_concern,high,resolved,gold,We need details about your data encryption and compliance.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,"Investigated logs, mitigated the issue, and updated security settings.",12.66,0,very_negative,0,1,web,APAC
TCKT_000182,2022-12-08 00:32:19,CUST_06098,individual,phone_transcript,login_auth,feature_request,medium,resolved,standard,Our team needs more advanced options for login auth.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,41.93,0,very_positive,5,0,android,
TCKT_000190,2022-12-21 02:58:28,CUST_02386,education,web_form,analytics_dashboard,how_to,low,open,standard,I need help setting up analytics dashboard for my team.,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,1,desktop_app,
TCKT_000197,2022-12-26 22:40:08,CUST_03010,individual,web_form,billing,performance,medium,open,standard,The billing page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,,,0,negative,0,0,api_client,
TCKT_000268,2022-12-04 19:59:12,CUST_02661,education,in_app,notifications,feature_request,medium,in_progress,platinum,Our team needs more advanced options for notifications.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,,,0,very_positive,5,0,ios,APAC
TCKT_000308,2022-12-08 06:40:38,CUST_03675,enterprise,phone_transcript,api_integration,performance,low,resolved,platinum,The api integration page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Optimized queries and increased resource allocation.,32.72,0,negative,2,1,android,MEA
TCKT_000328,2022-12-12 09:58:27,CUST_06433,individual,in_app,data_export,billing_problem,medium,resolved,gold,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,12.76,0,negative,3,0,web,MEA
TCKT_000340,2022-12-19 01:05:28,CUST_00295,enterprise,chat,billing,account_access,low,on_hold,gold,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,0,android,LATAM
TCKT_000371,2022-12-01 13:24:14,CUST_08211,non_profit,chat,billing,account_access,medium,resolved,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,14.07,0,negative,3,0,api_client,MEA
